tanggal,lembaga,nama_limbah,volume,satuan,kode,status,ditetapkan_pada,disahkan_pada,disahkan_oleh,dasar,keyakinan,catatan
2026-06-04,Fakultas Teknik Industri Pertanian,"Limbah HCN (ASAM SIANIDA) asam nitrat (HNO3) 6N AgNO3 0,02N FAS 40% NH4CNS 0,02N",300,Mili Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,MENGANDUNG SIANIDA (HCN/NH4CNS). Wajib dipisahkan dari limbah asam — risiko gas HCN.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah TVB-N TCA K2CO3 H3BO3 HCl Ind.Campuran (metyl merah dan biru),9,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Campuran reagen lab. Preseden A101A tidak tepat (tak ada pelarut terhalogenasi).
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Kadar Nitrat KNO3 KLOROFORM HCl,2,Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,sedang,Mengandung kloroform.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Gula Total HCL KI Na2HPO4 larutan luff schrool H2SO4 NaOH Na2S2O3.5H20 pb asetat Methyl jingga KI,15,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,tinggi,Mengandung Pb-asetat. Preseden internal konsisten.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Protein Kjeldahl K2SO4 HgO H2SO4 HCL NaOH Na2S2O3.5H20 H3BO3 Ind.Campuran (metyl merah dan biru),7,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,tinggi,"MENGANDUNG HgO. Bila Hg > 10 ppm, kode yang benar adalah A105d."
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Fenolik Asam galat Follin Ciocalteus Na2CO3 Aseton,8,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Campuran reagen; bukan limbah asam murni.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Defatting Heksan,150,Mili Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,tinggi,Heksana tidak terdaftar di Tabel 1b.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Formalin H3PO4 Asam kromatopat H2SO4,2,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Formalin + asam kromatopat. Preseden A109D terlalu sempit.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah flavonoid Metanol Quercetin AlCl3 CH3COOK Aseton,1,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,tinggi,Preseden internal konsisten.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Amilosa Campuran KI-I2 Standar Amilosa NaOH asam asetat glacial Etanol,1,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Preseden B105D KELIRU.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Protein Terlarut/Albumin Albumin NaOH Na2CO3 Na-K-Tartarat CUSO4 Folin Ciocalteu Reagent,0,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,VOLUME TERCATAT 0 — perlu dikonfirmasi.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Bilangan Peroksida Klorofom Etanol Asam Asetat Glasial Amilum Na2S2O3.5H2O,12,Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,sedang,Mengandung kloroform. Preseden A101A tidak tepat.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Antioksidan FRAP Antioksidan FRAP (buffer asetat dari sodium asetat trihidrat dan asam asetat glasial) HCl TPTZ FeCl3.6H2O FeSO4.7H2O,1,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Preseden A103C terlalu sempit (hanya HCl).
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Total Pati HCL NaOH H2SO4 luff schrool KI Na2S2O3.5H20 Amylum Phenoptalein,5,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,tinggi,Preseden internal konsisten.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah diastase number Larutan stok iod I2 amylum Nacl Buffer asetat,2,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,tinggi,Preseden internal konsisten.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Vit C I2 Amilum Na2S2O3.5H20,1,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,tinggi,Preseden internal konsisten.
2026-06-04,Fakultas Teknik Industri Pertanian,"Limbah Antosianin buffer KCl pH 1,0 buffer Natrium Asetat pH 4,5 HCl Asam Tartarat",6,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Preseden A103C terlalu sempit.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Ekstraksi Sample Metanol HCL kloroform heksana,50,Mili Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,sedang,Metanol + kloroform + heksana.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Toluena Toluena,200,Mili Liter,A112b,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Toluena (pelarut tidak terhalogenasi),tinggi,Toluena punya kode spesifik. Preseden B104D KELIRU (itu kemasan).
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Prak Kimia Organik Alkhohol dan Fenol heksana Metanol 1 propanol 2 propanol ZNnCl 2 Butanol Fenol (90%) NaOH 10% Asam kromat HCl Aseton,500,Mili Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,"Campuran praktikum: fenol, asam kromat, alkohol."
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Prak Kimia Organik Hidrokarbon KMnO4 H2SO4 NaOH 10% Heksana Butana,500,Mili Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,"Campuran praktikum: KMnO4, H2SO4, heksana."
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah NaOH,5,Liter,A108c,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Natrium Hidroksida,tinggi,NaOH murni.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah HCl,5,Liter,A103c,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Asam Hidroklorat,tinggi,HCl. Catatan: logbook memakai A110C untuk entri serupa — dua kode untuk zat sama.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Kalium dikromat,200,Mili Liter,A338-1,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 38 (lab riset) — bahan kimia kedaluwarsa,sedang,"Kalium dikromat, Cr(VI). Alternatif A106d bila bagian dari campuran praktikum."
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah kurkuminoid etanol,6,Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,sedang,Etanol pembawa; preseden A106D juga dapat diterima.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Saponifikasi Spirulina KOH Etanol Heksana,27,Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,sedang,KOH + etanol + heksana.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Kemasan Sodium Chlorida,1,Kg,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,Kemasan bekas B3.
2026-06-08,Fakultas Farmasi,Limbah cair campuran pelarut organik,2000,Liter,A107d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Pelarut bekas lainnya yang belum dikodifikasi,sedang,2.000 L pelarut organik. Preseden A106D dapat diterima; A107d lebih spesifik.
2026-06-08,Fakultas Teknik Industri Pertanian,Limbah Potassium iodide,1,Kg,A338-1,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 38 (lab riset) — bahan kimia kedaluwarsa,tinggi,**Ditetapkan pemilik 10 Juli 2026: bahan kadaluarsa.** Bahan kimia kedaluwarsa dari lab riset. Lihat catatan duplikat baris 217.
2026-06-08,Fakultas Teknik Industri Pertanian,Limbah Kemasan Sodium Chlorida,1,Kg,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,Kemasan bekas B3.
2026-06-08,Fakultas Farmasi,Limbah padat pecahan alat gelas/kemasan bahan kimia lab anfisko,12,Kg,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,"**Ditetapkan pemilik 10 Juli 2026: kemasan bekas B3.** Sesuai preseden baris 138 (FMIPA, 'Pecahan alat gelas, kemasan bahan kimia', 20 Kg → B104D) dan seluruh konvensi sheet 2026."
2026-06-08,Fakultas Farmasi,Limbah botol kosong bekas produk farmasi lab anfisko,10,Kg,B337-1,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 37 (kategori 2) — kemasan bekas produk farmasi,tinggi,Kemasan bekas produk farmasi.
2026-06-08,Fakultas Farmasi,Limbah cair campuran asam lab kimia medisinal,2000,Liter,A109d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah asam lainnya yang belum dikodifikasi,tinggi,2.000 L campuran asam.
2026-06-08,Fakultas Farmasi,Limbah cair disolusi obat,150,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,"Lab riset farmasi, bukan RS. A337-2 hanya untuk produk farmasi kedaluwarsa di industri 37."
2026-06-08,Fakultas Farmasi,Limbah campuran lab fitokimia,60,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Campuran laboratorium.
2026-06-08,Fakultas Farmasi,Limbah cair lab farmasetika,1200,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Preseden B337-1 KELIRU untuk limbah cair (B337-1 = kemasan).
2026-06-08,Fakultas Farmasi,Limbah infeksius,10,Kg,A337-1,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 37 (RS/lab klinis) — limbah klinis infeksius,tinggi,Limbah infeksius. Pastikan berasal dari lab klinis/biomedis.
2026-06-08,Fakultas Farmasi,Limbah cair lab teknologi farmasi,80,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Campuran laboratorium.
2026-06-08,Fakultas Farmasi,Limbah cair lab bioklin dan LRTF,20,Liter,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,sedang,Campuran laboratorium.
2026-06-08,Fakultas Farmasi,Limbah B3,10,Kg,A106d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 1 — Limbah laboratorium mengandung B3,tinggi,**Ditetapkan pemilik 10 Juli 2026.** Limbah laboratorium Farmasi yang mengandung B3.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah Potassium iodide,1,Kg,A338-1,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 38 (lab riset) — bahan kimia kedaluwarsa,tinggi,**Ditetapkan pemilik 10 Juli 2026: bahan kadaluarsa.** Identik dengan baris 205 — lihat catatan duplikat.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah botol Etanol 2 botol kemasan,2,Liter,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,Botol kemasan kosong. Satuan tertulis 'Liter' padahal kategori 'Padat'.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah botol heksan 4 botol kemasan kosong,2,Liter,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,Botol kemasan kosong. Satuan/kategori tidak konsisten.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah botol Metanol,2,Liter,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,Botol kemasan kosong. Satuan/kategori tidak konsisten.
2026-06-04,Fakultas Teknik Industri Pertanian,Limbah botol Chloroform 2 botol kosong,2,Liter,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,Botol kemasan kosong. Satuan/kategori tidak konsisten.
2026-06-22,Fakultas Kedokteran,"Limbah infeksiusn (jarum suntik , obyek glass)",34,Kg,A337-1,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 37 (RS/lab klinis) — limbah klinis infeksius,tinggi,Benda tajam infeksius (sharps). Lab klinis FK → industri 37.
2026-06-22,Fakultas Kedokteran,Limbah Botol plastik infeksius,18,Kg,A337-1,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 37 (RS/lab klinis) — limbah klinis infeksius,tinggi,Limbah infeksius.
2026-06-22,Fakultas Kedokteran,Limbah zat kimia padat/bubuk kadaluarsa,110,Kg,A337-3,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 37 — bahan kimia kedaluwarsa,tinggi,"Bahan kimia kedaluwarsa, industri 37."
2026-06-22,Fakultas Kedokteran,Limbah zat kimia cair kaluarsa,180,Kg,A337-3,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 3 industri 37 — bahan kimia kedaluwarsa,tinggi,Bahan kimia kedaluwarsa. Satuan 'Kg' padahal kategori 'Cair'.
2026-07-09,Fakultas Kedokteran,Limbah kemasan limbah B3,121,Kg,B104d,disahkan,2026-07-10,2026-07-10,Pemilik dashboard PK3L (k.susanto@geophys.unpad.ac.id),PP 22/2021 Lamp. IX Tabel 4 (kategori 2) — Kemasan bekas B3,tinggi,Kemasan bekas B3.
